cnty_name,county,mcd,cousubfp,mcd_name,total,acadian,afghan,africa,albania,alsatian,arab,armenia,assyria,australia,austria,basque,belgium,brazil,bulgaria,canada,capeverde,carprus,celtic,croatia,cyprus,czech,czchslovk,denmark,eeurope,egypt,english,estonia,ethiopia,europe,finland,france,frcanada,germany,ghana,grbritain,greece,guyana,hungary,iceland,iran,iraq,ireland,israel,italy,jordan,kenya,latvia,lebanon,liberia,lithuania,luxemburg,macedonia,malta,morrocco,netherlnd,neurope,newzeal,nigeria,norway,ossafric,otharab,palestine,poland,portugal,romania,russia,safrica,saudi,scandnv,scotirish,scotland,senegal,serbia,sierrleon,slavic,slovak,slovenia,somalia,sovunion,subafrica,sudan,sweden,switzrlnd,syria,turkey,uganda,ukraine,wales,westindes,yugoslavia,zaire,zimbabwe,white,hispanic,black,amindan,asian,top_industry
Tipton,159,020,46116,Madison,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,19,0,151,0,31,0,0,0,0,0,0,43,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,1386,37,0,0,1,Crop Production
Union,161,030,77678,Union,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,16,0,215,0,15,0,0,0,0,0,0,130,0,17,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1526,5,0,4,2,Motor Vehicle And Parts Dealers
Union,161,025,43452,Liberty,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,14,0,15,0,156,0,0,0,0,9,0,0,0,80,0,24,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,3,5,0,4,Motor Vehicle And Parts Dealers
Union,161,015,31522,Harmony,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,157,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,623,2,0,5,0,Motor Vehicle And Parts Dealers
Union,161,020,32008,Harrison,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,10,0,84,0,0,0,0,0,0,0,0,26,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,400,1,1,0,1,Motor Vehicle And Parts Dealers
Union,161,010,11656,Center,2880,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,211,0,0,18,0,17,8,398,0,4,0,0,0,0,0,0,118,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,14,4,0,0,0,0,0,58,27,0,0,0,0,0,0,0,0,6,0,4,13,0,0,0,0,6,0,0,0,0,2840,10,11,7,4,Motor Vehicle And Parts Dealers
Union,161,005,08542,Brownsville,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,16,0,187,0,0,0,0,0,0,0,0,58,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,6,0,0,0,0,848,1,0,3,3,Motor Vehicle And Parts Dealers
Vanderburgh,163,005,02188,Armstrong,1651,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,2,0,955,0,0,0,0,0,0,0,0,62,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1645,12,0,2,2,Clothing And Clothing Accessories Stores
Vanderburgh,163,015,27486,German,7354,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,7,8,9,0,0,313,0,0,36,0,104,0,3048,0,0,0,0,0,0,0,0,354,0,78,0,0,0,0,0,0,0,0,0,0,19,0,0,0,39,0,0,0,25,0,0,25,0,0,0,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7247,24,30,10,16,Clothing And Clothing Accessories Stores
Vanderburgh,163,025,59166,Perry,23687,0,0,33,0,0,0,0,0,0,7,0,6,6,0,0,0,0,0,8,0,9,26,15,0,0,1222,0,0,171,0,277,36,7591,0,37,32,0,33,0,0,0,1523,0,275,0,0,0,0,0,0,0,0,0,0,175,0,0,0,25,0,0,0,346,0,14,31,0,0,6,265,148,0,0,0,8,0,0,0,0,33,0,39,11,0,0,0,0,74,0,0,0,0,22992,131,322,26,155,Clothing And Clothing Accessories Stores
